;bill/BillType;bill/BillingEntity;bill/BillingPeriodEndDate;bill/BillingPeriodStartDate;bill/InvoiceId;bill/PayerAccountId;identity/LineItemId;identity/TimeInterval;lineItem/AvailabilityZone;lineItem/BlendedCost;lineItem/BlendedRate;lineItem/CurrencyCode;lineItem/LineItemDescription;lineItem/LineItemType;lineItem/NormalizationFactor;lineItem/NormalizedUsageAmount;lineItem/Operation;lineItem/ProductCode;lineItem/TaxType;lineItem/UnblendedCost;lineItem/UnblendedRate;lineItem/UsageAccountId;lineItem/UsageAmount;lineItem/UsageEndDate;lineItem/UsageStartDate;lineItem/UsageType;pricing/publicOnDemandCost;pricing/publicOnDemandRate;pricing/term;pricing/unit;product/ProductName;product/alarmType;product/availability;product/clockSpeed;product/currentGeneration;product/databaseEngine;product/dedicatedEbsThroughput;product/deploymentOption;product/description;product/durability;product/ecu;product/endpointType;product/engineCode;product/enhancedNetworkingSupported;product/feeCode;product/feeDescription;product/freeTier;product/fromLocation;product/fromLocationType;product/group;product/groupDescription;product/instanceFamily;product/instanceType;product/instanceTypeFamily;product/licenseModel;product/location;product/locationType;product/mailboxStorage;product/maxIopsBurstPerformance;product/maxIopsvolume;product/maxThroughputvolume;product/maxVolumeSize;product/memory;product/minVolumeSize;product/networkPerformance;product/normalizationSizeFactor;product/operatingSystem;product/operation;product/physicalProcessor;product/preInstalledSw;product/processorArchitecture;product/processorFeatures;product/productFamily;product/region;product/requestDescription;product/requestType;product/servicecode;product/servicename;product/sku;product/storage;product/storageClass;product/storageMedia;product/tenancy;product/toLocation;product/toLocationType;product/transferType;product/usagetype;product/vcpu;product/version;product/volumeType;reservation/NormalizedUnitsPerReservation;reservation/TotalReservedNormalizedUnits;reservation/TotalReservedUnits;reservation/UnitsPerReservation;resourceTags/aws:createdBy;resourceTags/user:Name;resourceTags/user:area;resourceTags/user:db;resourceTags/user:dtap;resourceTags/user:purpose
215;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;uac4zz2emuvtutfrk5fvlsaejymrfdtq2r6hwwogpy3pe4zd6dpa;2017-09-09T00:00:00Z/2017-09-10T00:00:00Z;;1.48765e-05;0.01;USD;$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB;Usage;;;PublicIP-In;AmazonEC2;;1.48765e-05;0.01;509579572466;0.0014876463;2017-09-09T06:00:00Z;2017-09-09T05:00:00Z;EU-DataTransfer-Regional-Bytes;1.48765e-05;0.01;OnDemand;GB;Amazon Elastic Compute Cloud;;;;;;;;;;;;;;;;;EU (Ireland);AWS Region;;;;;;;;;;;;;;;;;;;;;;;;Data Transfer;eu-west-1;;;AWSDataTransfer;;F8E5RBBTWDY6X6HP;;;;;EU (Ireland);AWS Region;IntraRegion;EU-DataTransfer-Regional-Bytes;;;;;;;;IAMUser:AIDAJZQCLC7LFL3S74XQY:Enrique;;za;n/a;prod;connects
216;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;3vt2tzdvijnbzkspyezejhll2a2ima4pf4itke6ee43lnjg7bmca;2017-09-08T00:00:00Z/2017-09-09T00:00:00Z;;4.48567e-05;0.09;USD;$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier;Usage;;;RunInstances;AmazonEC2;;4.48567e-05;0.09;509579572466;0.0004984092;2017-09-09T00:00:00Z;2017-09-08T00:00:00Z;EU-DataTransfer-Out-Bytes;0.0;0.0;OnDemand;GB;Amazon Elastic Compute Cloud;;;;;;;;;;;;;;;;;EU (Ireland);AWS Region;;;;;;;;;;;;;;;;;;;;;;;;Data Transfer;eu-west-1;;;AWSDataTransfer;;FSEU4E6BRE95JTX8;;;;;External;Other;AWS Outbound;EU-DataTransfer-Out-Bytes;;;;;;;;IAMUser:AIDAJZQCLC7LFL3S74XQY:Enrique;;es;;dev;system
217;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;jml2fbr335tviujngbk74prwpg2ymlh2tsc4mmxtmea7wh4rgt2q;2017-09-19T00:00:00Z/2017-09-20T00:00:00Z;;1.3495e-06;0.09;USD;$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier;Usage;;;CopyPart;AmazonS3;;1.3495e-06;0.09;509579572466;1.49943e-05;2017-09-19T14:00:00Z;2017-09-19T13:00:00Z;EU-DataTransfer-Out-Bytes;0.0;0.0;OnDemand;GB;Amazon Simple Storage Service;;;;;;;;;;;;;;;;;EU (Ireland);AWS Region;;;;;;;;;;;;;;;;;;;;;;;;Data Transfer;eu-west-1;;;AWSDataTransfer;;FSEU4E6BRE95JTX8;;;;;External;Other;AWS Outbound;EU-DataTransfer-Out-Bytes;;;;;;;;;;;;;
218;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;lfctrtd46wrilxuyciwdnnyk77mw73b774flghby4ssn7aczwqza;2017-09-07T00:00:00Z/2017-09-08T00:00:00Z;;4.5e-05;5e-06;USD;$0.005 per 1,000 PUT, COPY, POST, or LIST requests;Usage;;;PutObject;AmazonS3;;4.5e-05;5e-06;509579572466;9.0;2017-09-07T22:00:00Z;2017-09-07T05:00:00Z;EU-Requests-Tier1;4.5e-05;5e-06;OnDemand;Requests;Amazon Simple Storage Service;;;;;;;;;;;;;;;;;;;S3-API-Tier1;PUT/COPY/POST or LIST requests;;;;;EU (Ireland);AWS Region;;;;;;;;;;;;;;;;API Request;eu-west-1;;;AmazonS3;;578M9UJHH6X5PZVC;;;;;;;;EU-Requests-Tier1;;;;;;;;;;;;;
219;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;oingydl3ofa3fdqfpkhgykj3pd7sxyodxf2ibnrter4vzkmee77a;2017-09-12T00:00:00Z/2017-09-13T00:00:00Z;;6.6609e-06;0.09;USD;$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier;Usage;;;ListBucket;AmazonS3;;6.6609e-06;0.09;509579572466;7.40103e-05;2017-09-12T21:00:00Z;2017-09-12T18:00:00Z;DataTransfer-Out-Bytes;0.0;0.0;OnDemand;GB;Amazon Simple Storage Service;;;;;;;;;;;;;;;;;US East (N. Virginia);AWS Region;;;;;;;;;;;;;;;;;;;;;;;;Data Transfer;us-east-1;;;AWSDataTransfer;;HQEH3ZWJVT46JHRG;;;;;External;Other;AWS Outbound;DataTransfer-Out-Bytes;;;;;;;;IAMUser:AIDAJZQCLC7LFL3S74XQY:Enrique;;;;;
220;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;pmfrwt5pps3nwolg3uo3zlib3wmilejm6ylugii2em7j5w34eifa;2017-09-11T00:00:00Z/2017-09-12T00:00:00Z;;7.205e-07;0.02;USD;$0.02 per GB - EU (Ireland) data transfer to US East (Ohio);Usage;;;PublicIP-Out;AmazonEC2;;7.205e-07;0.02;509579572466;3.60303e-05;2017-09-12T00:00:00Z;2017-09-11T00:00:00Z;EU-USE2-AWS-Out-Bytes;7.206e-07;0.02;OnDemand;GB;Amazon Elastic Compute Cloud;;;;;;;;;;;;;;;;;EU (Ireland);AWS Region;;;;;;;;;;;;;;;;;;;;;;;;Data Transfer;eu-west-1;;;AWSDataTransfer;;3SXNXEB7AFKN7WA8;;;;;US East (Ohio);AWS Region;InterRegion Outbound;EU-USE2-AWS-Out-Bytes;;;;;;;;IAMUser:AIDAJM47Q7CUPS7UZGMRG:paolo.brizzolari;;za;;prod;connect
221;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;ojnwmxkel4xhbl5zh47ifljrnp6pi2v7d5wzaydmhhhen45vryna;2017-09-07T00:00:00Z/2017-09-08T00:00:00Z;;0.0013372;4e-07;USD;$0.004 per 10,000 GET and all other requests;Usage;;;GetObject;AmazonS3;;0.0013372;4e-07;509579572466;3343.0;2017-09-07T09:00:00Z;2017-09-07T08:00:00Z;EU-Requests-Tier2;0.0013372;4e-07;OnDemand;Requests;Amazon Simple Storage Service;;;;;;;;;;;;;;;;;;;S3-API-Tier2;GET and all other requests;;;;;EU (Ireland);AWS Region;;;;;;;;;;;;;;;;API Request;eu-west-1;;;AmazonS3;;ZCQD4CM637S7D8U5;;;;;;;;EU-Requests-Tier2;;;;;;;;IAMUser:AIDAJK4F3H4DHN3M5LWTW:marius.potgieter;;;;;
222;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;fgqk7db3b4lvfksnazp6ustsubrf4nqfcl64eqgfrspvy25imodq;2017-09-20T00:00:00Z/2017-09-21T00:00:00Z;;2.63211e-05;0.02;USD;$0.02 per GB - EU (Ireland) data transfer to Asia Pacific (Tokyo);Usage;;;PublicIP-Out;AmazonEC2;;2.63211e-05;0.02;509579572466;0.0013160708;2017-09-20T19:00:00Z;2017-09-20T09:00:00Z;EU-APN1-AWS-Out-Bytes;2.63214e-05;0.02;OnDemand;GB;Amazon Elastic Compute Cloud;;;;;;;;;;;;;;;;;EU (Ireland);AWS Region;;;;;;;;;;;;;;;;;;;;;;;;Data Transfer;eu-west-1;;;AWSDataTransfer;;XNKCM8BJ7Q7G8G4N;;;;;Asia Pacific (Tokyo);AWS Region;InterRegion Outbound;EU-APN1-AWS-Out-Bytes;;;;;;;;IAMUser:AIDAJZQCLC7LFL3S74XQY:Enrique;bbap-adserver-prod;;;;
223;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;crk4foojdn3bohjwciijbq5zohsdzgfjq5xoqssqovkzkbgs6rgq;2017-09-09T00:00:00Z/2017-09-10T00:00:00Z;;7.19e-08;0.09;USD;$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier;Usage;;;ListBucket;AmazonS3;;7.19e-08;0.09;509579572466;7.981e-07;2017-09-10T00:00:00Z;2017-09-09T20:00:00Z;EU-DataTransfer-Out-Bytes;0.0;0.0;OnDemand;GB;Amazon Simple Storage Service;;;;;;;;;;;;;;;;;EU (Ireland);AWS Region;;;;;;;;;;;;;;;;;;;;;;;;Data Transfer;eu-west-1;;;AWSDataTransfer;;FSEU4E6BRE95JTX8;;;;;External;Other;AWS Outbound;EU-DataTransfer-Out-Bytes;;;;;;;;;;;;;
224;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;e2iksv7yrrkhwpqeggdf4z35x746r4mlux2jjf3pebblh3rvotkq;2017-09-20T00:00:00Z/2017-09-21T00:00:00Z;eu-west-1b;0.143;0.013;USD;$0.013 per On Demand Linux t2.micro Instance Hour;Usage;;;RunInstances;AmazonEC2;;0.143;0.013;509579572466;11.0;2017-09-20T20:00:00Z;2017-09-20T09:00:00Z;EU-BoxUsage:t2.micro;0.143;0.013;OnDemand;Hrs;Amazon Elastic Compute Cloud;;;Up to 3.3 GHz;Yes;;;;;;Variable;;;;;;;;;;;General purpose;t2.micro;t2;No License required;EU (Ireland);AWS Region;;;;;;1 GiB;;Low to Moderate;0.5;Linux;RunInstances;Intel Xeon Family;;32-bit or 64-bit;"Intel AVX; Intel Turbo";Compute Instance;eu-west-1;;;AmazonEC2;Amazon Elastic Compute Cloud;STTHYT3WDDQU8UBR;EBS only;;;Shared;;;;EU-BoxUsage:t2.micro;1.0;;;;;;;IAMUser:AIDAJZQCLC7LFL3S74XQY:Enrique;bbvp-metanet-dev;;n/a;;vpn tunnel
225;Anniversary;AWS;2017-10-01T00:00:00Z;2017-09-01T00:00:00Z;;509579572466;3y7mxjj6yx3esw27rpic7mfwkkf4c2x3y3djey7v4yjsa7yhuffq;2017-09-01T00:00:00Z/2017-09-02T00:00:00Z;;0.0;0.0;USD;$0.000 per GB - first 1 GB of data transferred out per month;Usage;;;RunInstances;AmazonEC2;;0.0;0.0;509579572466;0.000602749;2017-09-01T15:00:00Z;2017-09-01T00:00:00Z;EU-DataTransfer-Out-Bytes;0.0;0.0;OnDemand;GB;Amazon Elastic Compute Cloud;;;;;;;;;;;;;;;;;EU (Ireland);AWS Region;;;;;;;;;;;;;;;;;;;;;;;;Data Transfer;eu-west-1;;;AWSDataTransfer;;FSEU4E6BRE95JTX8;;;;;External;Other;AWS Outbound;EU-DataTransfer-Out-Bytes;;;;;;;;IAMUser:AIDAJZQCLC7LFL3S74XQY:Enrique;;es;;dev;system
